,price,percent_pro,all_comment,pic_comment,vid_comment,add_comment,pro_comment,mid_comment,con_comment
0,35.88,0.97,3000.0,0.0,0.0,28.0,700.0,10.0,8.0
1,55.9,0.98,100000.0,14.0,1.0,300.0,40000.0,300.0,300.0
2,199.0,0.98,10000.0,0.0,0.0,200.0,8000.0,37.0,61.0
3,128.0,0.97,800.0,0.0,0.0,3.0,200.0,3.0,3.0
4,58.0,1.0,100.0,0.0,0.0,0.0,94.0,0.0,0.0
5,79.0,1.0,100.0,0.0,0.0,0.0,19.0,0.0,0.0
6,39.9,0.98,200.0,0.0,0.0,2.0,66.0,1.0,0.0
7,25.8,1.0,37.0,0.0,0.0,0.0,8.0,0.0,0.0
8,33.8,0.98,7000.0,50.0,0.0,17.0,3000.0,23.0,24.0
9,7.8,0.93,600.0,0.0,0.0,3.0,100.0,3.0,5.0
10,24.6,0.93,600.0,0.0,0.0,3.0,100.0,3.0,5.0
11,161.9,0.99,2000.0,0.0,0.0,4.0,400.0,2.0,2.0
12,235.0,0.98,100000.0,0.0,0.0,200.0,10000.0,100.0,200.0
13,53.9,0.98,900.0,0.0,0.0,3.0,100.0,1.0,1.0
14,139.0,0.98,80000.0,242.0,0.0,100.0,20000.0,100.0,200.0
15,59.0,0.9500000000000001,10000.0,500.0,0.0,39.0,10000.0,300.0,200.0
16,45.0,0.98,2000.0,3.0,0.0,10.0,1700.0,10.0,9.0
17,49.0,0.97,30000.0,500.0,0.0,83.0,20000.0,400.0,400.0
18,49.9,0.98,10000.0,30.0,0.0,39.0,10000.0,89.0,93.0
19,65.0,0.98,3000.0,0.0,0.0,49.0,1000.0,10.0,23.0
20,53.9,0.9500000000000001,1000.0,0.0,0.0,6.0,300.0,8.0,6.0
21,69.9,0.98,1000.0,0.0,0.0,9.0,400.0,2.0,3.0
22,29.9,0.97,700.0,2.0,0.0,10.0,200.0,1.0,5.0
23,116.0,0.98,80000.0,242.0,0.0,100.0,20000.0,100.0,200.0
24,119.0,0.98,500.0,0.0,0.0,1.0,100.0,0.0,2.0
25,89.0,0.98,100000.0,37.0,0.0,200.0,40000.0,200.0,300.0
26,69.0,0.97,90000.0,500.0,0.0,300.0,50000.0,800.0,600.0
27,68.0,0.98,100000.0,37.0,0.0,200.0,40000.0,200.0,300.0
28,68.0,0.98,100000.0,37.0,0.0,200.0,40000.0,200.0,300.0
29,69.0,0.98,100000.0,37.0,0.0,200.0,40000.0,200.0,300.0
30,69.0,0.98,100000.0,37.0,0.0,200.0,40000.0,200.0,300.0
31,195.0,0.99,4000.0,0.0,0.0,50.0,1000.0,2.0,6.0
32,8.41,0.98,10000.0,0.0,0.0,44.0,8000.0,56.0,51.0
33,9.9,0.93,2000.0,0.0,0.0,9.0,500.0,18.0,17.0
34,49.9,0.99,600.0,0.0,0.0,6.0,200.0,1.0,0.0
35,29.9,0.97,90000.0,500.0,0.0,300.0,50000.0,800.0,600.0
36,15.0,1.0,47.0,0.0,0.0,0.0,6.0,0.0,0.0
37,29.9,0.97,90000.0,500.0,0.0,300.0,50000.0,800.0,600.0
38,18.9,1.0,300.0,0.0,0.0,0.0,86.0,0.0,0.0
39,23.9,0.93,2000.0,0.0,0.0,9.0,500.0,18.0,17.0
40,14.9,0.93,2000.0,0.0,0.0,9.0,500.0,18.0,17.0
41,75.0,1.0,65.0,0.0,0.0,0.0,30.0,0.0,0.0
42,9.9,1.0,80.0,0.0,0.0,0.0,10.0,0.0,0.0
43,29.9,0.97,90000.0,500.0,0.0,300.0,50000.0,800.0,600.0
44,45.0,1.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0
45,59.9,0.9500000000000001,2000.0,0.0,0.0,3.0,300.0,8.0,8.0
46,29.9,0.93,2000.0,0.0,0.0,9.0,500.0,18.0,17.0
47,39.9,0.97,20000.0,500.0,1.0,66.0,10000.0,200.0,100.0
48,12.0,0.97,20000.0,500.0,1.0,66.0,10000.0,200.0,100.0
49,199.0,0.98,1000.0,0.0,0.0,4.0,300.0,1.0,5.0
50,59.0,0.97,7000.0,98.0,0.0,16.0,4000.0,67.0,42.0
51,74.9,0.97,300.0,0.0,0.0,0.0,67.0,0.0,2.0
52,98.0,0.98,8000.0,0.0,0.0,94.0,2000.0,7.0,25.0
53,168.0,1.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0
54,4.8,0.99,600.0,0.0,0.0,4.0,100.0,0.0,1.0
55,29.9,0.97,300.0,0.0,0.0,0.0,68.0,0.0,2.0
56,49.9,0.9500000000000001,300.0,0.0,0.0,0.0,20.0,0.0,1.0
57,115.0,0.98,30000.0,168.0,0.0,73.0,20000.0,100.0,100.0
58,89.0,0.99,2000.0,0.0,0.0,1.0,1000.0,0.0,2.0
59,14.0,1.0,100.0,0.0,0.0,1.0,20.0,0.0,0.0
60,29.9,0.96,1000.0,0.0,0.0,0.0,200.0,4.0,4.0
61,39.9,0.9500000000000001,200.0,0.0,0.0,0.0,45.0,1.0,1.0
62,39.0,0.98,1000.0,0.0,0.0,2.0,100.0,2.0,0.0
63,179.0,0.98,1000000.0,500.0,7.0,2000.0,800000.0,5000.0,5000.0
64,208.0,0.98,1000000.0,500.0,7.0,2000.0,800000.0,5000.0,5000.0
65,122.0,0.98,1000000.0,500.0,7.0,2000.0,800000.0,5000.0,5000.0
66,250.0,0.98,1000000.0,500.0,7.0,2000.0,800000.0,5000.0,5000.0
67,79.0,0.99,10000.0,132.0,0.0,45.0,10000.0,64.0,78.0
68,28.0,1.0,400.0,0.0,0.0,2.0,100.0,0.0,0.0
69,55.0,0.96,30000.0,0.0,0.0,85.0,9000.0,100.0,100.0
70,27.0,1.0,48.0,0.0,0.0,0.0,11.0,0.0,0.0
71,49.0,0.98,4000.0,0.0,0.0,12.0,800.0,8.0,6.0
72,165.6,0.99,4000.0,0.0,0.0,5.0,500.0,0.0,3.0
73,49.0,0.97,40000.0,0.0,0.0,100.0,10000.0,100.0,100.0
74,24.0,0.99,40000.0,370.0,0.0,87.0,20000.0,100.0,100.0
75,39.0,0.97,40000.0,0.0,0.0,100.0,10000.0,100.0,100.0
76,29.0,0.97,10000.0,0.0,0.0,11.0,2000.0,36.0,20.0
77,29.9,0.96,10000.0,0.0,0.0,66.0,3000.0,63.0,70.0
78,16.9,0.98,80000.0,0.0,0.0,100.0,20000.0,200.0,100.0
79,129.9,0.98,10000.0,0.0,0.0,28.0,2000.0,15.0,12.0
80,79.0,1.0,100.0,0.0,0.0,0.0,14.0,0.0,0.0
81,27.0,0.98,1000.0,0.0,0.0,3.0,400.0,4.0,4.0
82,59.9,0.93,1000.0,0.0,0.0,8.0,200.0,6.0,10.0
83,17.9,0.97,70000.0,500.0,1.0,100.0,20000.0,400.0,300.0
84,17.9,0.97,70000.0,500.0,1.0,100.0,20000.0,400.0,300.0
85,19.8,0.97,70000.0,500.0,1.0,100.0,20000.0,400.0,300.0
86,39.9,0.97,70000.0,500.0,1.0,100.0,20000.0,400.0,300.0
87,69.0,0.96,200.0,0.0,0.0,1.0,58.0,0.0,2.0
88,89.0,1.0,1000.0,0.0,0.0,6.0,900.0,0.0,0.0
89,49.0,0.93,6000.0,0.0,0.0,29.0,1000.0,47.0,69.0
90,84.9,0.96,200.0,0.0,0.0,1.0,63.0,2.0,0.0
91,9.0,0.97,5000.0,31.0,0.0,15.0,2000.0,28.0,23.0
92,0.49,0.9,300.0,0.0,0.0,1.0,89.0,3.0,6.0
93,59.9,0.98,300.0,0.0,0.0,0.0,58.0,1.0,0.0
94,25.0,0.9,300.0,0.0,0.0,1.0,89.0,3.0,6.0
95,72.0,1.0,100.0,0.0,0.0,0.0,26.0,0.0,0.0
96,199.0,0.99,4000.0,0.0,0.0,31.0,2000.0,7.0,9.0
97,569.0,0.99,4000.0,0.0,0.0,31.0,2000.0,7.0,9.0
98,58.0,0.97,3000.0,0.0,0.0,34.0,1000.0,9.0,18.0
